mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1280294, 173.2749878]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0891144, 125.1110401]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.117163727, 0.1188389322]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02747579014, 0.02768805756]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754083259, 0.007755832617]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.35872945, 80.36218236]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.086060841, 2.090721415]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9284036655, 0.942824103]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1711933577, 0.1734407518]
RWc_C: 99.9938% within the range, 0% underflow, 0.00625% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18773102, 91.18858843]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.494477239, 2.49469689]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472351632, 0.1474323908]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471878495, 0.1474633737]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1465025326, 0.1482456934]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.933891403, 0.9357320591]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6668031376, 0.6689150629]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47513432, 41.50783435]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.70999544, 20.75528011]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72870235, 20.73719517]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77101442, 20.78984238]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2155763084, 0.2161411339]
Rcharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1711714378, 0.1734188198]
Mw_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.35872945, 80.36218236]
GammaW_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.086060841, 2.090721415]
Mw_HLLHC: 100% within the range, 0% underflow, 0% overflow
