mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1997311, 173.2002976]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0999741, 125.1000549]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1179981601, 0.1180030807]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.0275795655, 0.02758036866]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754938415, 0.007754945023]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.35872843, 80.36217193]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.087638218, 2.089418339]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9338624301, 0.9383533863]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1716269569, 0.1728020297]
RWc_C: 99.9999% within the range, 0% underflow, 0.000125% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18808753, 91.18834608]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.494481402, 2.494709285]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472354323, 0.1474199901]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471888078, 0.1474645293]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.146593383, 0.1480330693]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9340414759, 0.9355275198]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.66694524, 0.6687899164]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.475131, 41.50478154]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72085939, 20.74574907]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72860976, 20.73799472]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.7713284, 20.78862236]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2156057768, 0.2161207669]
Rcharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.171605038, 0.1727801109]
Mw_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.35872843, 80.36217193]
GammaW_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.087638218, 2.089418339]
Mw_HLLHC: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.35872843, 80.36217193]
eeZH_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9390843393, 0.9512787203]
