mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.118475, 173.2757243]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0885599, 125.1118308]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1172550908, 0.1187011444]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02746411922, 0.0276928176]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007753986953, 0.007755871525]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.35869088, 80.36189027]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.086068711, 2.090609006]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9274407764, 0.9430519375]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1711866461, 0.1735569407]
RWc_C: 99.9959% within the range, 0% underflow, 0.004125% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18779736, 91.18859715]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.494483079, 2.494718616]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472393348, 0.1474137558]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471829301, 0.1474753557]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1464470939, 0.1482997882]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9339369416, 0.9356900534]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6666976839, 0.6689886339]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47509185, 41.50896756]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71163798, 20.75561538]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72752873, 20.73739656]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
