mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[171.5123975, 174.8444343]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0452966, 125.1580745]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1172254913, 0.1188413216]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02704601914, 0.02820923685]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007750539483, 0.007760126533]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.35031534, 80.36965993]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.083255276, 2.093405664]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9173648115, 0.95635218]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1691848367, 0.1756017153]
RWc_C: 99.997% within the range, 0% underflow, 0.003% overflow
  [min, max]=[0.5, 0.5]
Mw_ILC250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.35031534, 80.36965993]
GammaW_ILC250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.083255276, 2.093405664]
Mz_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18513794, 91.19112144]
GammaZ_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.489616689, 2.499288743]
Aelectron_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1467334265, 0.1479549732]
Amuon_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1432058833, 0.1509596289]
Atau_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1438394343, 0.1506450935]
Abottom_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.931924966, 0.9374998707]
Acharm_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6614716675, 0.674509999]
Relectron_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.64596014, 20.79248606]
Rmuon_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.64410058, 20.81726509]
Rtau_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.68880473, 20.87112294]
Rbottom_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2149405552, 0.2166780972]
Rcharm_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1691629158, 0.1755797985]
