mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1936082, 173.2052103]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0924557, 125.1073445]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1179225117, 0.1180645082]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02752160892, 0.02761641399]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754460006, 0.007755241819]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.35095448, 80.3694024]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.083922645, 2.093339273]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9194503071, 0.9531375145]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1690527423, 0.1755875335]
RWc_C: 99.9947% within the range, 0% underflow, 0.00525% overflow
  [min, max]=[0.5, 0.5]
Mw_ILC250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.35095448, 80.3694024]
GammaW_ILC250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.083922645, 2.093339273]
Mz_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18585533, 91.19016777]
GammaZ_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.489404062, 2.499094288]
Aelectron_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1466107614, 0.1479941021]
Amuon_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.144111088, 0.1518920949]
Atau_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1437508948, 0.1508814635]
Abottom_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9323777472, 0.9371383268]
Acharm_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6624810636, 0.6736969879]
Relectron_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.66623562, 20.80060215]
Rmuon_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.6473705, 20.80979473]
Rtau_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.70045447, 20.86886334]
Rbottom_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2149437372, 0.2168075951]
Rcharm_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1690308298, 0.1755656115]
Mw_HLLHC: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.35095448, 80.3694024]
eeZH_ILC250_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9488036419, 0.9899506611]
eeZHbb_ILC250_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9514119511, 0.9960912439]
eeHvvbb_ILC250_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9610632432, 1.020726021]
eeZHcc_ILC250_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8356788786, 1.10393894]
eeZHgg_ILC250_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8973021386, 1.026784796]
eeZHWW_ILC250_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8968364175, 1.016479559]
eeZHtautau_ILC250_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.927119691, 1.02321132]
eeZHZZ_ILC250_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8958618363, 1.01349674]
eeZHgaga_ILC250_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8658336669, 1.105840501]
eeZHmumu_ILC250_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.5436372712, 1.392304897]
eeZH_ILC250_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9490676116, 0.9912254528]
eeZHbb_ILC250_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9526699302, 0.9990122022]
eeHvvbb_ILC250_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9619169739, 1.016641145]
eeZHcc_ILC250_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8447175539, 1.101294498]
eeZHgg_ILC250_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9000334675, 1.022836649]
eeZHWW_ILC250_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8997105483, 1.011536132]
eeZHtautau_ILC250_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9261170022, 1.021381846]
eeZHZZ_ILC250_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8987359671, 1.009438161]
eeZHgaga_ILC250_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8666477567, 1.10884908]
eeZHmumu_ILC250_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.5408067315, 1.393762742]
eeZH_ILC350_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9531762824, 1.030774674]
eeZHbb_ILC350_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9568880085, 1.032175776]
eeHvvbb_ILC350_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9604004693, 1.023869549]
eeZHcc_ILC350_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8472252204, 1.1417933]
eeHvvcc_ILC350_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8630704718, 1.119789624]
eeZHgg_ILC350_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9081133324, 1.052104699]
eeHvvgg_ILC350_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9166141486, 1.037180418]
eeZHZZ_ILC350_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9087855303, 1.048965562]
eeHvvZZ_ILC350_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9146712726, 1.026035036]
eeZHWW_ILC350_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9097601115, 1.052057828]
eeHvvWW_ILC350_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9157189154, 1.029017855]
eeZHtautau_ILC350_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9355348959, 1.053740315]
eeHvvtautau_ILC350_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9353907119, 1.041186266]
eeZHgaga_ILC350_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8787204838, 1.147561598]
eeHvvgaga_ILC350_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8810089563, 1.12835694]
eeZHmumu_ILC350_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.5614325271, 1.421084465]
eeHvvmumu_ILC350_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.5556070299, 1.403992312]
eeZH_ILC350_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9533676, 1.026671147]
eeZHbb_ILC350_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9569710781, 1.03102967]
eeHvvbb_ILC350_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9636941307, 1.022761091]
eeZHcc_ILC350_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8603688283, 1.122494693]
eeHvvcc_ILC350_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8643842122, 1.118514011]
eeZHgg_ILC350_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9146620183, 1.052168149]
eeHvvgg_ILC350_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9178661458, 1.035228191]
eeZHZZ_ILC350_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9089805378, 1.04135586]
eeHvvZZ_ILC350_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9140480795, 1.026364145]
eeZHWW_ILC350_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.909955119, 1.039413411]
eeHvvWW_ILC350_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9150226607, 1.028643811]
eeZHtautau_ILC350_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9388259561, 1.045391825]
eeHvvtautau_ILC350_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9387219283, 1.040453881]
eeZHgaga_ILC350_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8787208722, 1.131167993]
eeHvvgaga_ILC350_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8816100994, 1.128268424]
eeZHmumu_ILC350_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.5511094594, 1.421250464]
eeHvvmumu_ILC350_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.5548635071, 1.405872136]
muggHgagaHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8864031318, 1.080336839]
muggHZZ4lHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9089972839, 1.0349552]
muggHWW2l2vHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.912116401, 1.036679241]
muggHtautauHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.894232103, 1.077587219]
muggHbbHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8871254136, 1.076150124]
muggHmumuHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.553047256, 1.412582884]
muggHZgaHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1844555937, 1.758730827]
muVBFgagaHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8761906337, 1.128855273]
muVBFZZ4lHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9159759953, 1.027288303]
muVBFWW2l2vHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9168189804, 1.030158576]
muVBFtautauHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9293803433, 1.043232458]
muVBFmumuHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.5562557647, 1.403381928]
muVBFZgaHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1800184468, 1.733533106]
muWHgagaHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8624624664, 1.121730988]
muWHZZ4lHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8866549008, 1.03948825]
muWHWW2l2vHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8882144406, 1.037429009]
muWHbbHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9403236792, 1.030582937]
muZHgagaHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8553114145, 1.121534102]
muZHZZ4lHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8857986557, 1.039627012]
muZHWW2l2vHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8887360635, 1.04068538]
muZHbbHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9179273449, 1.031600676]
muttHgagaHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.7957137853, 1.063409519]
muttHZZ4lHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8115335636, 1.039408786]
muttHWW2l2vHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8171397324, 1.039223828]
muttHbbHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8321032713, 1.059533386]
muttHtautauHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8225379529, 1.06304986]
GammaHRatio: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9535593232, 1.035138136]
deltalHHH_HLLHC: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-3.343174023, -0.9175991655]
gHZZeff_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9808703466, 1.004391353]
gHWWeff_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9804132874, 1.005685861]
gHAAeff_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9437687904, 1.057263293]
deltagHZA_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.4019291165, 0.3741976655]
deltag1Z_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002404996783, 0.002342846896]
deltaKgamma_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.003522303315, 0.003496787983]
lambdaZ_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001099205967, 0.001060913417]
gHGGeff_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9450772049, 1.02762957]
deltagHcc_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.07133171952, 0.07072351112]
deltagHbb_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.02868737895, 0.02836134927]
deltagHtata_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.03491280469, 0.03089072124]
deltagHmumu_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.2185594918, 0.2110517624]
GammaH_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9535593232, 1.035138136]
deltagZeeL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001067387455, 0.001223939487]
deltagZeeR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001465070936, 0.001400111453]
deltaUWeve_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001086738279, 0.001124881681]
deltagZmumuL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002668403557, 0.002721564823]
deltagZmumuR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.003684394183, 0.003183303646]
deltaUWmuvmu_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001739487975, 0.00212419958]
deltagZtataL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002864992921, 0.002729319961]
deltagZtataR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.003609450291, 0.003309020665]
deltaUWtavta_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001638171259, 0.001655714363]
deltaguL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.009350398973, 0.009420199572]
deltaguR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.01518608144, 0.0148207374]
deltagdL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.007223951719, 0.008420208715]
deltagdR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.1513808523, 0.137992196]
deltagbL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002895267308, 0.002508229801]
