mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1524333, 173.2618383]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0763162, 125.1514264]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1176090069, 0.1185942465]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.0271453553, 0.02794876047]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007751361342, 0.007757982194]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.35054338, 80.37074761]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.083161469, 2.093949326]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9216791354, 0.9514419715]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1690798934, 0.1759388421]
RWc_C: 99.9942% within the range, 0% underflow, 0.00575% overflow
  [min, max]=[0.5, 0.5]
Mw_ILC250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.35054338, 80.37074761]
GammaW_ILC250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.083161469, 2.093949326]
Mz_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18581138, 91.1908724]
GammaZ_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.489928461, 2.498728252]
Aelectron_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1467207262, 0.1480262653]
Amuon_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1437704399, 0.1504641319]
Atau_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1431904993, 0.1506345652]
Abottom_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9320473797, 0.9370677201]
Acharm_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.661841892, 0.6731690864]
Relectron_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.6583944, 20.79385109]
Rmuon_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.66369808, 20.8076213]
Rtau_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.69727186, 20.86864926]
Rbottom_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2149833041, 0.216769257]
Rcharm_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1690579516, 0.175916974]
Mw_HLLHC: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.35054338, 80.37074761]
eeZH_ILC250_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8539875258, 0.8943515217]
