mtop: 92.9265% within the range, 0.1014% underflow, 6.97209% overflow
  [min, max]=[173.1773859, 173.2301686]
mHl: 97.2082% within the range, 2.7744% underflow, 0.01735% overflow
  [min, max]=[125.0944392, 125.1029948]
AlsMz: 98.8779% within the range, 0.98425% underflow, 0.137875% overflow
  [min, max]=[0.1177366777, 0.1183106815]
dAle5Mz: 83.2571% within the range, 15.6755% underflow, 1.06736% overflow
  [min, max]=[0.02752879547, 0.02760879936]
AlemMz: 83.2789% within the range, 15.6661% underflow, 1.05499% overflow
  [min, max]=[0.007754519967, 0.007755179201]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37700891, 80.38092002]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.086754102, 2.091753055]
As_C: 99.9998% within the range, 0% underflow, 0.0001625% overflow
  [min, max]=[0.9268472047, 0.9435562142]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1710268312, 0.173570347]
RWc_C: 99.9929% within the range, 0% underflow, 0.007075% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 99.997% within the range, 0.0016125% underflow, 0.0014% overflow
  [min, max]=[91.18772793, 91.18867164]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495401127, 2.495651435]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472220391, 0.1474297879]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471481909, 0.1474601717]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1463937978, 0.1482326862]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9336753783, 0.9357819704]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6667122018, 0.6691452454]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47166909, 41.50969803]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.7110578, 20.75959629]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.7275419, 20.73762648]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77093916, 20.78916845]
Rbottom_FCCee: 99.9999% within the range, 0.0001% underflow, 0% overflow
  [min, max]=[0.2155461679, 0.2161422992]
Rcharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1710049132, 0.1735484279]
Mw_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37700891, 80.38092002]
GammaW_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.086754102, 2.091753055]
Mw_HLLHC: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37700891, 80.38092002]
eeZH_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[1.000195797, 1.029809131]
eeZHbb_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[1.000498208, 1.029949832]
eeHvvbb_FCCee240: 100% within the range, 0% underflow, 1.25e-05% overflow
  [min, max]=[0.913146796, 1.049184038]
eeZHcc_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9093570042, 1.116935141]
eeZHgg_FCCee240: 99.9987% within the range, 6.25e-05% underflow, 0.001225% overflow
  [min, max]=[0.9557329859, 1.097718112]
eeZHWW_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9701680641, 1.064630203]
eeZHZZ_FCCee240: 100% within the range, 0% underflow, 1.25e-05% overflow
  [min, max]=[0.9727582698, 1.069622831]
eeZHtautau_FCCee240: 100% within the range, 3.75e-05% underflow, 0% overflow
  [min, max]=[0.9701010594, 1.055972478]
eeZHgaga_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8671136186, 1.085597778]
eeZHmumu_FCCee240: 99.9995% within the range, 0% underflow, 0.000525% overflow
  [min, max]=[0.5719646592, 1.486142881]
eeZHZga_FCCee240: 99.9988% within the range, 0% underflow, 0.001175% overflow
  [min, max]=[0.3827273515, 1.617328442]
muggHgagaHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8573642722, 1.055664033]
muggHZZ4lHL: 99.9999% within the range, 6.25e-05% underflow, 0% overflow
  [min, max]=[0.9392573949, 1.065880485]
muggHWW2l2vHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9346134274, 1.064928158]
muggHtautauHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9131026744, 1.089999785]
muggHbbHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9225648244, 1.078963566]
muggHmumuHL: 99.9997% within the range, 0% underflow, 0.000325% overflow
  [min, max]=[0.5792108649, 1.454450104]
muggHZgaHL: 99.9988% within the range, 0% underflow, 0.0012375% overflow
  [min, max]=[0.3710345404, 1.613105808]
muVBFgagaHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8299378191, 1.074072868]
muVBFZZ4lHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9080008986, 1.061878984]
muVBFWW2l2vHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8991168484, 1.060923235]
muVBFtautauHL: 99.9999% within the range, 0% underflow, 5e-05% overflow
  [min, max]=[0.902810067, 1.072607835]
muVBFmumuHL: 99.9997% within the range, 0% underflow, 0.0002625% overflow
  [min, max]=[0.5346126683, 1.444757964]
muVBFZgaHL: 99.9995% within the range, 0% underflow, 0.000525% overflow
  [min, max]=[0.3328030191, 1.602548526]
muWHgagaHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8482062338, 1.078402281]
muWHZZ4lHL: 99.9988% within the range, 0.0011625% underflow, 0% overflow
  [min, max]=[0.9246353848, 1.083453239]
muWHWW2l2vHL: 99.9994% within the range, 0.0006125% underflow, 0% overflow
  [min, max]=[0.9174707982, 1.081301961]
muWHbbHL: 99.9992% within the range, 0.000375% underflow, 0.0004125% overflow
  [min, max]=[0.9326529323, 1.068287113]
muZHgagaHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8579002661, 1.081288097]
muZHZZ4lHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9393933018, 1.07421538]
muZHWW2l2vHL: 99.9999% within the range, 6.25e-05% underflow, 0% overflow
  [min, max]=[0.9308807656, 1.074981786]
muZHbbHL: 99.9992% within the range, 0.000775% underflow, 0% overflow
  [min, max]=[0.9467399543, 1.054880741]
muttHgagaHL: 99.9977% within the range, 0.0022875% underflow, 0% overflow
  [min, max]=[0.7869989452, 1.128377821]
muttHZZ4lHL: 99.9969% within the range, 0.0008875% underflow, 0.002175% overflow
  [min, max]=[0.8250023004, 1.171625916]
muttHWW2l2vHL: 99.9971% within the range, 0.0008125% underflow, 0.00205% overflow
  [min, max]=[0.8205358859, 1.169201243]
muttHbbHL: 99.9979% within the range, 0.00205% underflow, 3.75e-05% overflow
  [min, max]=[0.7995538015, 1.156142186]
muttHtautauHL: 99.9962% within the range, 0.00385% underflow, 0% overflow
  [min, max]=[0.8118822613, 1.161290467]
GammaHRatio: 99.9976% within the range, 0% underflow, 0.002425% overflow
  [min, max]=[0.9129079937, 1.049836747]
deltalHHH_HLLHC: 99.9994% within the range, 0.000575% underflow, 0% overflow
  [min, max]=[-4.150195275, 8.654129056]
gHZZeff_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9635526955, 1.021473531]
gHWWeff_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9586624766, 1.021243452]
gHAAeff_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9139223053, 1.033655344]
deltagHZA_nocorr: 99.9982% within the range, 0% underflow, 0.0017875% overflow
  [min, max]=[-0.3191305367, 0.3148480805]
deltag1Z_nocorr: 99.9999% within the range, 0% underflow, 6.25e-05% overflow
  [min, max]=[-0.002305592555, 0.001987013071]
deltaKgamma_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002845889139, 0.003332399833]
lambdaZ_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001019451169, 0.001075616032]
gHGGeff_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9575971217, 1.038765975]
deltagHcc_nocorr: 99.9999% within the range, 0% underflow, 8.75e-05% overflow
  [min, max]=[-0.05723544123, 0.06868769599]
deltagHbb_nocorr: 99.9997% within the range, 0% underflow, 0.00035% overflow
  [min, max]=[-0.02359558467, 0.043663864]
deltagHtata_nocorr: 99.9964% within the range, 0% underflow, 0.0035875% overflow
  [min, max]=[-0.02846770663, 0.05014042997]
deltagHmumu_nocorr: 99.9994% within the range, 0% underflow, 0.0006125% overflow
  [min, max]=[-0.2089390732, 0.240343401]
GammaH_nocorr: 99.9976% within the range, 0% underflow, 0.002425% overflow
  [min, max]=[0.9129079937, 1.049836747]
deltagZeeL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001852098649, 0.000465919531]
deltagZeeR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001692924715, 0.0005694442168]
deltaUWeve_nocorr: 99.9992% within the range, 0% underflow, 0.000825% overflow
  [min, max]=[-0.0006324529958, 0.0008069473803]
deltagZmumuL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001202489119, 0.000520436877]
deltagZmumuR_nocorr: 100% within the range, 2.5e-05% underflow, 0% overflow
  [min, max]=[-0.0001605934189, 0.0006450985063]
deltaUWmuvmu_nocorr: 100% within the range, 3.75e-05% underflow, 0% overflow
  [min, max]=[-0.0007535194867, 0.0009290341942]
deltagZtataL_nocorr: 99.9999% within the range, 5e-05% underflow, 0% overflow
  [min, max]=[-0.0003826157874, 0.0007225149822]
deltagZtataR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0004957852321, 0.001000167756]
deltaUWtavta_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0007102394075, 0.0009446635834]
deltaguL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.003140664354, 0.004137227055]
deltaguR_nocorr: 100% within the range, 2.5e-05% underflow, 0% overflow
  [min, max]=[-0.003959388673, 0.00458531218]
deltagdL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.003632848785, 0.003212467214]
deltagdR_nocorr: 100% within the range, 2.5e-05% underflow, 0% overflow
  [min, max]=[-0.06672108453, 0.07595247614]
deltagbL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005998857556, 0.0009577862108]
deltagbR_nocorr: 100% within the range, 2.5e-05% underflow, 0% overflow
  [min, max]=[-0.008470700856, 0.009579840044]
delgZeeL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001341157032, 5.3313236e-05]
delgZeeR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-3.591503993e-05, 0.0001208065834]
delUWeve_nocorr: 99.9992% within the range, 0% underflow, 0.000825% overflow
  [min, max]=[-0.0006324529958, 0.0008069473803]
delgZmumuL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001498086587, 3.461394177e-05]
delgZmumuR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-3.406954389e-05, 0.000136856423]
delUWmuvmu_nocorr: 100% within the range, 3.75e-05% underflow, 0% overflow
  [min, max]=[-0.0007535194867, 0.0009290341942]
delgZtataL_nocorr: 100% within the range, 0% underflow, 2.5e-05% overflow
  [min, max]=[-0.0002079763431, 0.0001101363163]
delgZtataR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001051797915, 0.0002121823339]
delUWtavta_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0007102394075, 0.0009446635834]
delguL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001126141943, 0.001483475629]
delguR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.000648509506, 0.0005599826846]
delgdL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.00137906176, 0.001559523256]
delgdR_nocorr: 100% within the range, 2.5e-05% underflow, 0% overflow
  [min, max]=[-0.004718240971, 0.005371037921]
delgbL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0004111622456, 0.0002575215333]
delgbR_nocorr: 100% within the range, 2.5e-05% underflow, 0% overflow
  [min, max]=[-0.0005990140088, 0.0006774462377]
eHWWpar: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.00133915427, 0.001215751024]
eHZZpar: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001224818466, 0.001376108736]
eHZgapar: 99.9878% within the range, 0% underflow, 0.0121625% overflow
  [min, max]=[-0.001536698464, 0.001515820259]
Mz_C: 99.997% within the range, 0.0016125% underflow, 0.0014% overflow
  [min, max]=[91.18772793, 91.18867164]
GammaZ_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495401127, 2.495651435]
sigmaHadron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47166909, 41.50969803]
Relectron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.7110578, 20.75959629]
Rmuon_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.7275419, 20.73762648]
Rtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77093916, 20.78916845]
AFBelectron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.0162557483, 0.01630165081]
AFBmuon_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.0162584026, 0.01629740248]
AFBtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.01617795599, 0.01638341338]
Aelectron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472220391, 0.1474297879]
Amuon_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471481909, 0.1474601717]
Atau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1463937978, 0.1482326862]
AelectronPtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472220391, 0.1474297879]
AtauPtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1463937978, 0.1482326862]
Rbottom_C: 99.9999% within the range, 0.0001% underflow, 0% overflow
  [min, max]=[0.2155461679, 0.2161422992]
Rcharm_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1710049132, 0.1735484279]
AFBbottom_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1031458722, 0.1034266474]
AFBcharm_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.07365851181, 0.07394648315]
Abottom_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9336753783, 0.9357819704]
Acharm_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6667122018, 0.6691452454]
BrWelectron_C: 99.9972% within the range, 0% underflow, 0.0027875% overflow
  [min, max]=[0.1082451303, 0.1085551256]
BrWmuon_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082316778, 0.1085315487]
BrWtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082268263, 0.1085424074]
deltag1Z_C: 99.9999% within the range, 0% underflow, 6.25e-05% overflow
  [min, max]=[-0.002305592555, 0.001987013071]
deltaKgamma_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002845889139, 0.003332399833]
lambdaZ_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001019451169, 0.001075616032]
deltaguL_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001126141943, 0.001483475629]
deltaguR_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.000648509506, 0.0005599826846]
deltagdL_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.00137906176, 0.001559523256]
deltagdR_HLLHC_OO: 100% within the range, 2.5e-05% underflow, 0% overflow
  [min, max]=[-0.004718240971, 0.005371037921]
deltag1Z_HLLHC_OO: 99.9999% within the range, 0% underflow, 6.25e-05% overflow
  [min, max]=[-0.002305592555, 0.001987013071]
deltaKgamma_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002845889139, 0.003332399833]
lambdaZ_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001019451169, 0.001075616032]
deltag1Z_OO_FCCee161: 99.9999% within the range, 0% underflow, 6.25e-05% overflow
  [min, max]=[-0.002305592555, 0.001987013071]
deltaKgamma_OO_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002845889139, 0.003332399833]
lambdaZ_OO_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001019451169, 0.001075616032]
deltageL_OO_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001341157032, 5.3313236e-05]
deltageR_OO_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-3.591503993e-05, 0.0001208065834]
deltaUev_OO_FCCee161: 99.9992% within the range, 0% underflow, 0.000825% overflow
  [min, max]=[-0.0006324529958, 0.0008069473803]
BrWelectron_FCCee161: 99.9972% within the range, 0% underflow, 0.0027875% overflow
  [min, max]=[0.1082451303, 0.1085551256]
BrWmuon_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082316778, 0.1085315487]
BrWtau_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082268263, 0.1085424074]
deltag1Z_OO_FCCee240: 99.9999% within the range, 0% underflow, 6.25e-05% overflow
  [min, max]=[-0.002305592555, 0.001987013071]
deltaKgamma_OO_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002845889139, 0.003332399833]
lambdaZ_OO_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001019451169, 0.001075616032]
deltageL_OO_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001341157032, 5.3313236e-05]
deltageR_OO_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-3.591503993e-05, 0.0001208065834]
deltaUev_OO_FCCee240: 99.9992% within the range, 0% underflow, 0.000825% overflow
  [min, max]=[-0.0006324529958, 0.0008069473803]
BrWelectron_FCCee240: 99.9972% within the range, 0% underflow, 0.0027875% overflow
  [min, max]=[0.1082451303, 0.1085551256]
BrWmuon_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082316778, 0.1085315487]
BrWtau_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082268263, 0.1085424074]
gHZZeff_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9635526955, 1.021473531]
gHWWeff_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9586624766, 1.021243452]
gHAAeff_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9139223053, 1.033655344]
deltagHZA_gicorr: 99.9982% within the range, 0% underflow, 0.0017875% overflow
  [min, max]=[-0.3191305367, 0.3148480805]
deltag1Z_gicorr: 99.9999% within the range, 0% underflow, 6.25e-05% overflow
  [min, max]=[-0.002305592555, 0.001987013071]
deltaKgamma_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002845889139, 0.003332399833]
lambdaZ_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001019451169, 0.001075616032]
gHGGeff_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9575971217, 1.038765975]
deltagHtt_gicorr: 99.8699% within the range, 0.0033125% underflow, 0.126763% overflow
  [min, max]=[-0.160927723, 0.09814423329]
deltagHcc_gicorr: 99.9999% within the range, 0% underflow, 8.75e-05% overflow
  [min, max]=[-0.05723544123, 0.06868769599]
deltagHbb_gicorr: 99.9997% within the range, 0% underflow, 0.00035% overflow
  [min, max]=[-0.02359558467, 0.043663864]
deltagHtata_gicorr: 99.9964% within the range, 0% underflow, 0.0035875% overflow
  [min, max]=[-0.02846770663, 0.05014042997]
deltagHmumu_gicorr: 99.9994% within the range, 0% underflow, 0.0006125% overflow
  [min, max]=[-0.2089390732, 0.240343401]
deltagZeeL_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001852098649, 0.000465919531]
deltagZeeR_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001692924715, 0.0005694442168]
deltaUWeve_gicorr: 99.9992% within the range, 0% underflow, 0.000825% overflow
  [min, max]=[-0.0006324529958, 0.0008069473803]
deltagZmumuL_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001202489119, 0.000520436877]
deltagZmumuR_gicorr: 100% within the range, 2.5e-05% underflow, 0% overflow
  [min, max]=[-0.0001605934189, 0.0006450985063]
deltaUWmuvmu_gicorr: 100% within the range, 3.75e-05% underflow, 0% overflow
  [min, max]=[-0.0007535194867, 0.0009290341942]
deltagZtataL_gicorr: 99.9999% within the range, 5e-05% underflow, 0% overflow
  [min, max]=[-0.0003826157874, 0.0007225149822]
deltagZtataR_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0004957852321, 0.001000167756]
deltaUWtavta_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0007102394075, 0.0009446635834]
deltaguL_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.003140664354, 0.004137227055]
deltaguR_gicorr: 100% within the range, 2.5e-05% underflow, 0% overflow
  [min, max]=[-0.003959388673, 0.00458531218]
deltagdL_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.003632848785, 0.003212467214]
deltagdR_gicorr: 100% within the range, 2.5e-05% underflow, 0% overflow
  [min, max]=[-0.06672108453, 0.07595247614]
deltagbL_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005998857556, 0.0009577862108]
deltagbR_gicorr: 100% within the range, 2.5e-05% underflow, 0% overflow
  [min, max]=[-0.008470700856, 0.009579840044]
CW_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.01820966979, 0.01725878202]
CHG_corr: 99.9824% within the range, 0.016475% underflow, 0.001125% overflow
  [min, max]=[-0.004640193985, 0.009453719468]
CHW_corr: 99.9997% within the range, 0.0003125% underflow, 0% overflow
  [min, max]=[-0.0380661395, 0.04339628416]
CHB_corr: 99.999% within the range, 0% underflow, 0.001% overflow
  [min, max]=[-0.01067955319, 0.01477466363]
CHWB_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.02572632642, 0.03012328081]
CHD_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.07728430014, 0.03448967231]
