mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1534876, 173.2522369]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0944662, 125.1062762]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.117523672, 0.1184094556]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02752903795, 0.02764468079]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754522094, 0.007755475076]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37736163, 80.38082613]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.087361878, 2.091215896]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9284642314, 0.9413290645]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1709592664, 0.1732271487]
RWc_C: 99.9971% within the range, 0% underflow, 0.002875% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18779942, 91.18857083]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495387442, 2.495642648]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472224428, 0.147414976]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471851118, 0.1474492207]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1465258387, 0.148195545]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9339413077, 0.9355189683]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6667936533, 0.668992655]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47571609, 41.50891865]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71188325, 20.75679904]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72819628, 20.73768929]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77027203, 20.78847115]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.215572919, 0.2161129336]
