mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1233266, 173.2709289]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0851374, 125.1120094]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1172333548, 0.1188150425]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02747530034, 0.02768945429]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754079507, 0.007755844206]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37725503, 80.38077326]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.087289443, 2.091867604]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9280125676, 0.9430440978]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1710599863, 0.1733421043]
RWc_C: 99.9938% within the range, 0% underflow, 0.00625% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18775902, 91.18857309]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495416366, 2.495628868]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1478900399, 0.1480679002]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1478407227, 0.1481143074]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1470482743, 0.1488957387]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9346320878, 0.9365419188]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6668374516, 0.6690302546]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47454099, 41.50787502]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.7133393, 20.75896591]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72894392, 20.73711624]
