mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1339972, 173.2781624]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.087745, 125.1115244]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1172653396, 0.1188257431]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02746229507, 0.02769490035]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007753972106, 0.007755888919]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37683728, 80.37899668]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.088774616, 2.090603228]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9324742883, 0.9387103946]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1722400459, 0.1722438496]
RWc_C: 99.989% within the range, 0% underflow, 0.011% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18779546, 91.1886318]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495517877, 2.49562901]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.148161909, 0.148282585]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1480801629, 0.1483497851]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1480621376, 0.148349311]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9344483663, 0.9352624956]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6680645799, 0.6685474881]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.48786896, 41.49395736]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.73461535, 20.73533026]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.73468002, 20.73523528]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.78165147, 20.78229068]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.215848624, 0.2158522072]
Rcharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1722181323, 0.1722219246]
Mw_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37683728, 80.37899668]
GammaW_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.088774616, 2.090603228]
Mw_HLLHC: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37683728, 80.37899668]
eeZH_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9985294094, 1.013435316]
