mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1665625, 173.2444779]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0952724, 125.1061884]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1177136333, 0.1184554135]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02750866494, 0.02764802491]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754354124, 0.007755502708]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37729979, 80.38081631]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.08694594, 2.09114852]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9280670338, 0.9417478971]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1712871997, 0.1732607812]
RWc_C: 99.9973% within the range, 0% underflow, 0.00275% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18779881, 91.18866336]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.49539473, 2.495655269]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472392367, 0.1474167814]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471896326, 0.1474745764]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1464151141, 0.1481455154]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9338301157, 0.9356162494]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6668885462, 0.6689076338]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47605798, 41.50788311]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71430383, 20.75894926]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72860942, 20.73716125]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77086581, 20.78867724]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2155815339, 0.2161061675]
Rcharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1712652816, 0.1732388565]
