mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.130689, 173.2773146]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0874545, 125.1112955]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1171937316, 0.1187191479]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02747446459, 0.02769690613]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.00775407238, 0.007755905551]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37736583, 80.38071545]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.086666565, 2.091211881]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9258182064, 0.9420041087]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1712179076, 0.173317443]
RWc_C: 99.9901% within the range, 0% underflow, 0.009875% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18777207, 91.188644]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495421138, 2.495633327]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472316701, 0.1474564981]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471926828, 0.14745901]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.146467945, 0.1481150282]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9339327599, 0.9356003814]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.666918035, 0.6689934625]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47633821, 41.50924449]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71467654, 20.75823094]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72846136, 20.73742486]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77135641, 20.78779256]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2155935959, 0.2161293337]
Rcharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1711959883, 0.1732955161]
Mw_FCCee: 100% within the range, 0% underflow, 0% overflow
