mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1595559, 173.2568658]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0907261, 125.1089784]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1175364182, 0.1185281071]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02750112313, 0.0276394845]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754292288, 0.007755431975]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37730873, 80.3808912]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.086853207, 2.091166427]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9262648918, 0.941859808]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1710970304, 0.173264328]
RWc_C: 99.9955% within the range, 0% underflow, 0.0045% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18781268, 91.18862569]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495414839, 2.495653353]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472362288, 0.1474334876]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471840455, 0.1474533412]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1465411104, 0.14819724]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9338834179, 0.9356138285]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6669848573, 0.6690213116]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47610168, 41.51118439]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71441229, 20.7579101]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72909644, 20.73754333]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77077433, 20.78902162]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2156105906, 0.2161182304]
