mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1493702, 173.2394165]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0951819, 125.1037229]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1177296267, 0.1183157995]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02752317421, 0.02764361855]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754473601, 0.007755466678]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37727874, 80.38072047]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.0868645, 2.091154309]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9273068228, 0.941800484]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1712708014, 0.1732108965]
RWc_C: 99.9896% within the range, 0% underflow, 0.010375% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18776574, 91.18864258]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495421745, 2.495647076]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472367234, 0.1474163928]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471828276, 0.1474576851]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1464459876, 0.1480852254]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9337808691, 0.9356365538]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.666939852, 0.6689129599]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.4737212, 41.50717333]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71602686, 20.75501651]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72821068, 20.73714988]
