mtop: 99.9998% within the range, 0.0002125% underflow, 0% overflow
  [min, max]=[173.1400581, 173.2751261]
mHl: 99.9692% within the range, 0.0308% underflow, 0% overflow
  [min, max]=[125.0899407, 125.1079498]
AlsMz: 99.9835% within the range, 0.0165125% underflow, 0% overflow
  [min, max]=[0.1171965609, 0.1186868576]
dAle5Mz: 99.9159% within the range, 0.0006625% underflow, 0.083425% overflow
  [min, max]=[0.02750577991, 0.02766303824]
AlemMz: 99.9133% within the range, 0.0006625% underflow, 0.0860625% overflow
  [min, max]=[0.007754330117, 0.007755626575]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.3788464, 80.38263004]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.086797433, 2.091634878]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.926207825, 0.9429642214]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1711573951, 0.1734008897]
RWc_C: 99.9928% within the range, 0% underflow, 0.0072375% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 99.9997% within the range, 0% underflow, 0.00025% overflow
  [min, max]=[91.18778607, 91.1886797]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495494022, 2.495741922]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472258016, 0.147426677]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471718387, 0.1474659918]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1464032046, 0.1481972242]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9337311625, 0.9357272284]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6668382879, 0.6690723715]
sigmaHadron_FCCee: 99.9987% within the range, 0.00105% underflow, 0.00025% overflow
  [min, max]=[41.47109393, 41.51060016]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71115437, 20.76143128]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72783777, 20.73763453]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.76943479, 20.78949515]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2155408488, 0.2161737825]
Rcharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1711354795, 0.1733789699]
