mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1340712, 173.2871932]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0884697, 125.1123976]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1172203635, 0.1188563736]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02745158697, 0.02769349707]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007753884138, 0.007755877736]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.3789646, 80.38239523]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.08705384, 2.091741314]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9270078799, 0.9429516438]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1712366198, 0.1731990231]
RWc_C: 99.9862% within the range, 0% underflow, 0.01375% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18779649, 91.18860957]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495504008, 2.495724083]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1479655469, 0.148151804]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1479270397, 0.1481966649]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472076595, 0.1489334886]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9347367972, 0.9364829618]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6669573883, 0.6689086302]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47617514, 41.50823826]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71196415, 20.76221521]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.7289618, 20.73737179]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77149844, 20.78802654]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2155745551, 0.2161220059]
Rcharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1712147, 0.1731770964]
Mw_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.3789646, 80.38239523]
GammaW_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.08705384, 2.091741314]
Mw_HLLHC: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.3789646, 80.38239523]
eeZH_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9954771133, 1.025023888]
eeZHbb_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9922849759, 1.016909046]
eeHvvbb_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9093844193, 1.028672243]
eeZHcc_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9165096872, 1.095043194]
eeZHgg_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9540131887, 1.086820942]
eeZHWW_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9840210002, 1.060629531]
eeZHZZ_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9784799058, 1.071165904]
eeZHtautau_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9680320132, 1.044068928]
eeZHgaga_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8781456822, 1.076850504]
eeZHmumu_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6380649049, 1.362072663]
eeZHZga_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.5148636207, 1.58897964]
muggHgagaHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8658659587, 1.035583316]
muggHZZ4lHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9304025291, 1.046377928]
muggHWW2l2vHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9274835548, 1.042641779]
muggHtautauHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8864571709, 1.041063221]
muggHbbHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8955965988, 1.039479848]
muggHmumuHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.5926108811, 1.307604426]
muggHZgaHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.4829020457, 1.549195915]
muVBFgagaHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8441634985, 1.058745268]
muVBFZZ4lHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9188510802, 1.061027196]
muVBFWW2l2vHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9156958296, 1.056956331]
muVBFtautauHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.895662693, 1.036365002]
muVBFmumuHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.5827797205, 1.316945891]
muVBFZgaHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.4705441931, 1.567809225]
muWHgagaHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8414416956, 1.068587454]
muWHZZ4lHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9335502043, 1.077766036]
muWHWW2l2vHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9219068364, 1.073240823]
muWHbbHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9221059115, 1.042055051]
muZHgagaHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8538969921, 1.074116186]
muZHZZ4lHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9489246147, 1.068227802]
muZHWW2l2vHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9421908241, 1.066801777]
muZHbbHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9402757962, 1.034810804]
muttHgagaHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8228379447, 1.186378587]
muttHZZ4lHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8855879092, 1.239119011]
muttHWW2l2vHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8792854888, 1.238714701]
muttHbbHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.862578286, 1.221914527]
muttHtautauHL: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8551287568, 1.223488772]
GammaHRatio: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.902093502, 1.032346775]
deltalHHH_HLLHC: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-2.500872591, 8.949177714]
gHZZeff_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9638655341, 1.014145885]
gHWWeff_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.958597413, 1.013301447]
gHAAeff_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9141911951, 1.018825756]
deltagHZA_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.2601335898, 0.2816430005]
deltag1Z_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001565595713, 0.001978293301]
deltaKgamma_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.003255407686, 0.002215801424]
lambdaZ_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0009182509965, 0.000990122815]
gHGGeff_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9447466405, 1.024958819]
deltagHcc_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.06702086021, 0.05547548131]
deltagHbb_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.03433937394, 0.04150777392]
deltagHtata_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.03445803247, 0.04783798898]
deltagHmumu_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.1847395486, 0.1822931002]
GammaH_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.902093502, 1.032346775]
deltagZeeL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[8.639940799e-05, 0.0007539186481]
deltagZeeR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0006868860653, 0.0001126852179]
deltaUWeve_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005009543475, 0.0008009084745]
deltagZmumuL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[7.123752047e-05, 0.0008545795855]
deltagZmumuR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005459448876, 0.0002026667797]
deltaUWmuvmu_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0006316201935, 0.0008677282499]
deltagZtataL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-2.236828256e-05, 0.001055542224]
deltagZtataR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0008744089205, 0.000540466813]
deltaUWtavta_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.000502755827, 0.0009131998232]
deltaguL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002866414321, 0.002971484334]
deltaguR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.003504962376, 0.003732527541]
deltagdL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002570369793, 0.003602137654]
deltagdR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.06222404703, 0.07358693682]
deltagbL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0002302572378, 0.001141214161]
deltagbR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.01463539212, 0.0006428672441]
delgZeeL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0002170174059, -2.487026499e-05]
delgZeeR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001457214951, 2.390591882e-05]
delUWeve_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005009543475, 0.0008009084745]
delgZmumuL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0002459923761, -2.050587929e-05]
delgZmumuR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001158208153, 4.299502927e-05]
delUWmuvmu_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0006316201935, 0.0008677282499]
delgZtataL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0003038397224, 6.438759027e-06]
delgZtataR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001855032276, 0.0001146592566]
delUWtavta_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.000502755827, 0.0009131998232]
delguL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.00102780172, 0.001065480747]
delguR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.000527896968, 0.0004957111668]
delgdL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001546338345, 0.001103418488]
delgdR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.004400237238, 0.005203771122]
delgbL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0004899051839, 9.884576076e-05]
delgbR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001034957232, 4.546093581e-05]
eHWWpar: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001343141712, 0.001171394653]
eHZZpar: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001514314601, 0.001244421044]
eHZgapar: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001373259373, 0.001376010412]
Mz_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18779649, 91.18860957]
GammaZ_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495504008, 2.495724083]
sigmaHadron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47617514, 41.50823826]
Relectron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71196415, 20.76221521]
Rmuon_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.7289618, 20.73737179]
Rtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77149844, 20.78802654]
AFBelectron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.01641995664, 0.01646095558]
AFBmuon_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.01642196138, 0.0164601088]
AFBtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.0163441995, 0.01653670813]
Aelectron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1479655469, 0.148151804]
Amuon_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1479270397, 0.1481966649]
Atau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472076595, 0.1489334886]
AelectronPtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1479655469, 0.148151804]
AtauPtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472076595, 0.1489334886]
Rbottom_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2155745551, 0.2161220059]
Rcharm_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1712147, 0.1731770964]
AFBbottom_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1037792367, 0.1040359001]
AFBcharm_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.07405147963, 0.07428667038]
Abottom_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9347367972, 0.9364829618]
Acharm_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6669573883, 0.6689086302]
BrWelectron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082528891, 0.1085401431]
BrWmuon_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082422106, 0.1085234857]
BrWtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.108240069, 0.1085585741]
deltag1Z_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001565595713, 0.001978293301]
deltaKgamma_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.003255407686, 0.002215801424]
lambdaZ_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0009182509965, 0.000990122815]
deltaguL_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.00102780172, 0.001065480747]
deltaguR_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.000527896968, 0.0004957111668]
deltagdL_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001546338345, 0.001103418488]
deltagdR_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.004400237238, 0.005203771122]
deltag1Z_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001565595713, 0.001978293301]
deltaKgamma_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.003255407686, 0.002215801424]
lambdaZ_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0009182509965, 0.000990122815]
deltag1Z_OO_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001565595713, 0.001978293301]
deltaKgamma_OO_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.003255407686, 0.002215801424]
lambdaZ_OO_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0009182509965, 0.000990122815]
deltageL_OO_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0002170174059, -2.487026499e-05]
deltageR_OO_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001457214951, 2.390591882e-05]
deltaUev_OO_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005009543475, 0.0008009084745]
BrWelectron_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082528891, 0.1085401431]
BrWmuon_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082422106, 0.1085234857]
BrWtau_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.108240069, 0.1085585741]
deltag1Z_OO_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001565595713, 0.001978293301]
deltaKgamma_OO_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.003255407686, 0.002215801424]
lambdaZ_OO_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0009182509965, 0.000990122815]
deltageL_OO_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0002170174059, -2.487026499e-05]
deltageR_OO_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001457214951, 2.390591882e-05]
deltaUev_OO_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005009543475, 0.0008009084745]
BrWelectron_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082528891, 0.1085401431]
BrWmuon_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082422106, 0.1085234857]
BrWtau_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.108240069, 0.1085585741]
gHZZeff_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9638655341, 1.014145885]
gHWWeff_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.958597413, 1.013301447]
gHAAeff_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9141911951, 1.018825756]
deltagHZA_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.2601335898, 0.2816430005]
deltag1Z_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001565595713, 0.001978293301]
deltaKgamma_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.003255407686, 0.002215801424]
lambdaZ_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0009182509965, 0.000990122815]
gHGGeff_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9447466405, 1.024958819]
deltagHtt_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.1278528794, 0.1216611567]
deltagHcc_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.06702086021, 0.05547548131]
deltagHbb_gicorr: 100% within the range, 0% underflow, 0% overflow
