mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1443321, 173.2415881]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.089995, 125.1091583]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1175203235, 0.1185903125]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02749711193, 0.02765908878]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754258982, 0.007755593831]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37903446, 80.38249235]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.087511293, 2.091671768]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9284053552, 0.9421626475]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1712360891, 0.17334797]
RWc_C: 99.9952% within the range, 0% underflow, 0.00475% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18777166, 91.18859986]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495496612, 2.495729711]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472337039, 0.1474149765]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471832529, 0.1474841904]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1464671088, 0.148147307]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9338541117, 0.9355843993]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6668962531, 0.6689161994]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.4767173, 41.50807447]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71016536, 20.75656827]
