mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1563606, 173.256428]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0918294, 125.1100623]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.117473771, 0.1184532449]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02751166735, 0.02765707846]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754379069, 0.007755577128]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37897702, 80.38246617]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.087313121, 2.091284798]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9280607538, 0.9416551216]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1712191595, 0.1733408997]
RWc_C: 99.9935% within the range, 0% underflow, 0.0065% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18779681, 91.18867006]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495492183, 2.495740377]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472327853, 0.1474053951]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471949087, 0.1474609021]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1464082263, 0.1482425905]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9339441356, 0.9356684783]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6668975676, 0.6690530513]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47704415, 41.50701859]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71225831, 20.75431109]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72856246, 20.73736339]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77074256, 20.78945478]
