mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1569136, 173.2512285]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0942346, 125.1072658]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1176033434, 0.1186033396]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02750726078, 0.02767413507]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754342421, 0.00775571782]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.3789829, 80.38238287]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.08716945, 2.091210589]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9273771787, 0.9409148708]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1712494549, 0.1732272169]
RWc_C: 99.9915% within the range, 0% underflow, 0.0085% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18775216, 91.18873774]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495501789, 2.495726499]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472336686, 0.1474150435]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471871808, 0.1474648307]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1464807247, 0.1482876611]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9339244831, 0.9355806545]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6668315661, 0.6689448454]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47444245, 41.51392396]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71489171, 20.75535835]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.7281657, 20.73718726]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77122405, 20.78824523]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2155609222, 0.2160956734]
Rcharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.17122754, 0.173205294]
Mw_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.3789829, 80.38238287]
