mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1532536, 173.2507902]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0910525, 125.1084259]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1175489675, 0.118511195]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02751321404, 0.02765700246]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754391698, 0.007755577002]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37908685, 80.38248722]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.087202574, 2.091511743]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9276311763, 0.9422820214]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1711848781, 0.1732548911]
RWc_C: 99.9946% within the range, 0% underflow, 0.005375% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18777241, 91.18869081]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495497641, 2.495731499]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472190392, 0.1474257069]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.147191173, 0.1474681672]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1464904133, 0.1481316626]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9339042752, 0.9356452962]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6668163753, 0.66894205]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47612934, 41.50788229]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71365568, 20.75593268]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72830401, 20.73768364]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77065357, 20.78802146]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2155688738, 0.216137326]
Rcharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1711629672, 0.1732329696]
Mw_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37908685, 80.38248722]
GammaW_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.087202574, 2.091511743]
Mw_HLLHC: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37908685, 80.38248722]
eeZH_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[1.002673096, 1.02653353]
eeZHbb_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[1.000069796, 1.024037007]
eeHvvbb_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9295663757, 0.9980743408]
eeZHcc_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9307246983, 1.09943189]
eeZHgg_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9663374175, 1.101521091]
eeZHWW_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9805564164, 1.050021689]
eeZHZZ_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9845310326, 1.056313681]
eeZHtautau_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9783191424, 1.04416721]
eeZHgaga_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6830940516, 1.323029784]
eeZHmumu_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.3186466519, 1.694172719]
eeZHZga_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.3138291336, 1.591107789]
eeZH_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9647146893, 1.006250559]
eeZHbb_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9628897491, 1.003363076]
eeHvvbb_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9297690107, 0.9933772639]
eeZHcc_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8872911966, 1.073347935]
eeHvvcc_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8697935447, 1.054383368]
eeZHgg_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9428719633, 1.07981783]
eeHvvgg_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9078352736, 1.053335732]
eeZHWW_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.950077523, 1.027976185]
eeHvvWW_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9133541458, 1.011691508]
eeZHZZ_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9533432744, 1.030751299]
eeHvvZZ_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9197128435, 1.015130687]
eeZHtautau_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9404389143, 1.025105146]
eeHvvtautau_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9171972576, 1.012236522]
eeZHgaga_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.659235511, 1.293690346]
eeHvvgaga_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6306798195, 1.27059041]
eeZHmumu_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2870992044, 1.673251752]
GammaHRatio: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9255968303, 1.013805917]
deltalHHH_HLLHC: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6677084385, 5.976388535]
gHZZeff_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9706858484, 1.002115693]
gHWWeff_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.96816252, 1.001100081]
gHAAeff_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.7859238578, 1.132265057]
deltagHZA_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.3556576633, 0.292006499]
deltag1Z_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001558920287, 0.001426005795]
deltaKgamma_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002111300424, 0.002717716534]
lambdaZ_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0006841339802, 0.0006481399406]
gHGGeff_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9482304927, 1.036667162]
deltagHcc_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.04960155083, 0.06117473674]
deltagHbb_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.02436676738, 0.02678969915]
deltagHtata_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.03456761808, 0.02861969756]
deltagHmumu_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.3505270243, 0.3433779054]
GammaH_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9255968303, 1.013805917]
deltagZeeL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001410336125, 0.0004652558501]
deltagZeeR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001860770767, 0.0005469141652]
deltaUWeve_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005907413552, 0.0007310694289]
deltagZmumuL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-7.34685292e-05, 0.0005221633172]
deltagZmumuR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001417158799, 0.0006406389878]
deltaUWmuvmu_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0006189888324, 0.0008827940771]
deltagZtataL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0003214183542, 0.0006621562531]
deltagZtataR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0003954105343, 0.0008453039854]
deltaUWtavta_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005841798284, 0.0008685681878]
deltaguL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.00285808843, 0.003005998654]
deltaguR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.003814296055, 0.003701684803]
deltagdL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002539421771, 0.002749670245]
deltagdR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.05578260817, 0.06934638151]
deltagbL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0004492266251, 0.0009075202895]
deltagbR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.007185274111, 0.007573027903]
delgZeeL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.000133925076, 4.059672988e-05]
delgZeeR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-3.94758906e-05, 0.0001160265182]
delUWeve_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005907413552, 0.0007310694289]
delgZmumuL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001503055775, 2.114803289e-05]
delgZmumuR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-3.006479871e-05, 0.0001359095399]
delUWmuvmu_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0006189888324, 0.0008827940771]
delgZtataL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001906035118, 9.252080123e-05]
delgZtataR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-8.388523143e-05, 0.0001793300646]
delUWtavta_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005841798284, 0.0008685681878]
delguL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001024820667, 0.001077855228]
delguR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.000523535581, 0.0005394637759]
delgdL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001180389493, 0.001090133071]
delgdR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.003944726629, 0.004903892177]
delgbL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0003895838808, 0.000192845726]
delgbR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005081145987, 0.0005355341098]
eHWWpar: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001272006515, 0.001204895288]
eHZZpar: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.00131335216, 0.00143290595]
eHZgapar: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.00122687467, 0.001196952905]
Mz_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18777241, 91.18869081]
GammaZ_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495497641, 2.495731499]
sigmaHadron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47612934, 41.50788229]
Relectron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71365568, 20.75593268]
Rmuon_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72830401, 20.73768364]
Rtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77065357, 20.78802146]
AFBelectron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.01625508264, 0.01630074619]
AFBmuon_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.0162619168, 0.01629579549]
AFBtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.0161837437, 0.01636627772]
Aelectron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472190392, 0.1474257069]
Amuon_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.147191173, 0.1474681672]
Atau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1464904133, 0.1481316626]
AelectronPtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472190392, 0.1474257069]
AtauPtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1464904133, 0.1481316626]
Rbottom_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2155688738, 0.216137326]
Rcharm_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1711629672, 0.1732329696]
AFBbottom_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1031599907, 0.1034040185]
AFBcharm_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.07367338713, 0.07391714441]
Abottom_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9339042752, 0.9356452962]
Acharm_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6668163753, 0.66894205]
BrWelectron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.10823034, 0.1084853718]
BrWmuon_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082272289, 0.1085244517]
BrWtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082451153, 0.1085138189]
deltag1Z_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001558920287, 0.001426005795]
deltaKgamma_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002111300424, 0.002717716534]
lambdaZ_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0006841339802, 0.0006481399406]
deltaguL_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001024820667, 0.001077855228]
deltaguR_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.000523535581, 0.0005394637759]
deltagdL_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
