mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1451138, 173.2482408]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0897268, 125.1116567]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1174741451, 0.1185505069]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02751262499, 0.0276391614]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754386687, 0.007755429233]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.3789312, 80.38230179]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.087143847, 2.091332064]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9276159883, 0.9415880682]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1710914572, 0.1733401138]
RWc_C: 99.9968% within the range, 0% underflow, 0.00325% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18780587, 91.18859345]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495506065, 2.495737911]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.147237962, 0.1474061101]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471964957, 0.1474758364]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1465151965, 0.1481123822]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9337018226, 0.935578881]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6669354217, 0.668907195]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47752704, 41.5111765]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71361157, 20.7555036]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72897813, 20.73733519]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77127032, 20.7882413]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2155770527, 0.2161165999]
