mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1256138, 173.2861754]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0863528, 125.112844]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1171987105, 0.1187261565]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02746769634, 0.02768853849]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754016439, 0.007755836478]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37732141, 80.37957426]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.08931863, 2.091288089]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9341313115, 0.940842433]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1722396365, 0.1722434553]
RWc_C: 99.993% within the range, 0% underflow, 0.007% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18781631, 91.18862155]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495589148, 2.49570728]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1482276659, 0.1483458872]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1481619948, 0.1484199165]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1481080215, 0.148398358]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9342692039, 0.9351428643]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6680351173, 0.6685083353]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.48543205, 41.49248091]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.73469991, 20.73542797]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.73493391, 20.73549899]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.78178873, 20.78240416]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2158484862, 0.2158519641]
Rcharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1722177147, 0.1722215425]
Mw_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37732141, 80.37957426]
GammaW_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.08931863, 2.091288089]
Mw_HLLHC: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37732141, 80.37957426]
eeZH_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[1.000673027, 1.015879529]
