mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1534628, 173.2510237]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0919981, 125.1081607]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1175129761, 0.1184853935]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02749923666, 0.02766292709]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754276981, 0.007755625495]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37861117, 80.38244588]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.086619843, 2.091279499]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9256559827, 0.9416260034]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1709454119, 0.1733567542]
RWc_C: 99.9975% within the range, 0% underflow, 0.0025% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.1877934, 91.18859518]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.49551334, 2.495737447]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472304339, 0.1474125444]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471935454, 0.1474577187]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1464028744, 0.1481180287]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.93387554, 0.9356322767]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6668193697, 0.6689034547]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47395048, 41.5072461]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71489288, 20.75948884]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72862265, 20.73701439]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.7711026, 20.78816839]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
