mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1123629, 173.2802468]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0871765, 125.1126816]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1172450513, 0.1187971804]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02746327564, 0.02769811467]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007753980233, 0.007755915502]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.3723305, 80.37448259]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.088014638, 2.089877888]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9310721129, 0.9374433523]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1722333162, 0.1722368871]
RWc_C: 99.9974% within the range, 0% underflow, 0.002625% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18778123, 91.18861283]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495152805, 2.495269428]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.148020703, 0.1481401825]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1479415811, 0.1482163279]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.147926633, 0.148227557]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9344185189, 0.9352435509]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6680281347, 0.6685401375]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.48782933, 41.49479179]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.73265466, 20.73339483]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
