mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1706859, 173.2465828]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0936335, 125.1051999]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.117554185, 0.1184673068]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02749214394, 0.02765217559]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754218255, 0.007755536759]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.36575596, 80.36900847]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.086464409, 2.09086681]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9279942596, 0.9430751515]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1712602256, 0.1731922895]
RWc_C: 99.9968% within the range, 0% underflow, 0.00325% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18780298, 91.18862966]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.494813456, 2.495016661]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472427132, 0.1474075534]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.147195196, 0.1474633416]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1464367419, 0.1481416016]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.933954416, 0.9356293722]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.666908178, 0.6690884517]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47777224, 41.5062465]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71298798, 20.75645195]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72886613, 20.73752697]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77185956, 20.78785431]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2156149365, 0.2161211726]
Rcharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1712383117, 0.1731703703]
Mw_FCCee: 100% within the range, 0% underflow, 0% overflow
