mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.160068, 173.2456052]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.091752, 125.1047822]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1176100789, 0.118470491]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02752740072, 0.02762067885]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754508501, 0.007755277491]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37979985, 80.38329202]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.086999998, 2.091357153]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9266222282, 0.9419314032]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1712486046, 0.173285312]
RWc_C: 99.9973% within the range, 0% underflow, 0.00275% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18781038, 91.1886448]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495579249, 2.495787841]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472408229, 0.1474030927]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.147184135, 0.1474409204]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1465380248, 0.1481225868]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9339711454, 0.9355673988]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6669216536, 0.6687991546]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47484232, 41.51050538]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71394717, 20.75895777]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72819616, 20.73695832]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77185211, 20.7877574]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2155819414, 0.2161505934]
Rcharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1712266865, 0.1732633908]
Mw_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37979985, 80.38329202]
GammaW_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.086999998, 2.091357153]
Mw_HLLHC: 100% within the range, 0% underflow, 0% overflow
