mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1750414, 173.2206296]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0962807, 125.1038089]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1177542697, 0.1181967446]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02755768158, 0.027610323]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754757912, 0.00775519173]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37948164, 80.38307522]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.087157987, 2.091414094]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9280438033, 0.9416597192]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1711737623, 0.1730981997]
RWc_C: 99.998% within the range, 0% underflow, 0.002% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18786271, 91.18867393]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495581845, 2.495803576]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472417712, 0.147414381]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471880559, 0.1474537195]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1464615089, 0.1480404844]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9339332793, 0.9354986127]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6669293025, 0.668846347]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47651776, 41.50566523]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71517139, 20.75553772]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72887399, 20.7371803]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.7712639, 20.78896974]
