mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1277637, 173.2773892]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0882002, 125.1150232]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1171971808, 0.1187830761]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02748138941, 0.02770052048]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754129456, 0.007755935388]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37208507, 80.37573479]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.087227498, 2.091408213]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9284417154, 0.9427955066]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1712364208, 0.1733778751]
RWc_C: 99.9912% within the range, 0% underflow, 0.00875% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18771644, 91.18864533]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495175471, 2.495385746]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1479184352, 0.1481024697]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1478673544, 0.1481538115]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.147218323, 0.1488332593]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9339158608, 0.935667351]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6672077256, 0.6693394676]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47590542, 41.50794422]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71024725, 20.75497067]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72861463, 20.73726017]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77207996, 20.78881987]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.215576488, 0.216141249]
Rcharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.171214502, 0.1733559385]
Mw_FCCee: 100% within the range, 0% underflow, 0% overflow
