mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1325506, 173.2715366]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0881812, 125.1116787]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1171074523, 0.1187126118]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02745002817, 0.02768396]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007753870998, 0.007755799159]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.3729532, 80.37505227]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.087954794, 2.089923998]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9307879727, 0.9375237724]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1722333651, 0.1722371057]
RWc_C: 99.997% within the range, 0% underflow, 0.003% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18777827, 91.18861738]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495224413, 2.49533892]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1479490403, 0.1480807888]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1478658192, 0.1481430891]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1478667957, 0.1481462316]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9344258433, 0.935186183]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6679887398, 0.6684947253]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.4881871, 41.49472524]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.73264043, 20.73338245]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
