mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1711139, 173.2172787]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0978214, 125.1040333]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1178076019, 0.1182940287]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02756425676, 0.02761500106]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754812222, 0.007755230428]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37222175, 80.37572247]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.08731829, 2.09053838]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9289720919, 0.9402347981]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1712989489, 0.1731872904]
RWc_C: 99.9958% within the range, 0% underflow, 0.00425% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18779746, 91.1885937]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495168992, 2.495394025]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472304673, 0.1474157545]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471924734, 0.1474722444]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1464506652, 0.148194299]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9338569586, 0.9356553739]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6669857355, 0.6689755428]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47651121, 41.5106657]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71500056, 20.75431794]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72892968, 20.73799428]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77171939, 20.78862301]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2155804758, 0.2161137341]
Rcharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1712770271, 0.1731653678]
Mw_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37222175, 80.37572247]
GammaW_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.08731829, 2.09053838]
