mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1261031, 173.285521]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0866838, 125.1137995]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.117278703, 0.1188423702]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02744885289, 0.02769287463]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.00775386161, 0.007755872309]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37229602, 80.3756887]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.086526709, 2.091325606]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9264291278, 0.9424880183]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1710156756, 0.1733613909]
RWc_C: 99.9929% within the range, 0% underflow, 0.007125% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18778271, 91.18861944]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495157496, 2.49539404]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472421144, 0.1474171741]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471904973, 0.1474624289]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1465402246, 0.1482438372]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9338311208, 0.935601396]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6668739429, 0.668977011]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47486063, 41.50722399]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71014794, 20.7579181]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.7287992, 20.73763232]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77106055, 20.78950434]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2155897315, 0.2161167108]
Rcharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1709937572, 0.1733394707]
Mw_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37229602, 80.3756887]
GammaW_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.086526709, 2.091325606]
Mw_HLLHC: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37229602, 80.3756887]
eeZH_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9852757775, 1.010437004]
eeZHbb_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9872766381, 1.010185384]
eeHvvbb_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9652598588, 1.028264829]
eeZHcc_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9150670603, 1.080670144]
eeZHgg_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9181562609, 1.068755651]
eeZHWW_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9584819032, 1.034616236]
eeZHZZ_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9591131698, 1.042365915]
eeZHtautau_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9671079302, 1.032651013]
eeZHgaga_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6954736114, 1.295522981]
eeZHmumu_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2149835847, 1.74231392]
eeZHZga_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.3647456675, 1.586114676]
eeZH_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.977595695, 1.017328363]
eeZHbb_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9780951403, 1.014413871]
eeHvvbb_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9624522135, 1.032232183]
eeZHcc_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9062314247, 1.080462111]
eeHvvcc_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8986193702, 1.083526557]
eeZHgg_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9149343919, 1.071300123]
eeHvvgg_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.914753328, 1.071260633]
eeZHWW_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9568460017, 1.038904374]
eeHvvWW_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9498006433, 1.049172451]
eeZHZZ_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9578312501, 1.046394058]
eeHvvZZ_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9499941066, 1.049403678]
eeZHtautau_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9618148649, 1.0373353]
eeHvvtautau_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9555972989, 1.043631606]
eeZHgaga_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6979418705, 1.310172565]
eeHvvgaga_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6908220119, 1.298454832]
eeZHmumu_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2065952272, 1.741563729]
GammaHRatio: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9520818981, 1.038358508]
deltalHHH_HLLHC: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-1.862417783, 2.041125824]
gHZZeff_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9799704295, 1.015618674]
gHWWeff_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9779482576, 1.015211273]
gHAAeff_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8328220375, 1.137248602]
deltagHZA_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.3160106301, 0.3023390461]
deltag1Z_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001688202285, 0.002057661527]
deltaKgamma_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001797302881, 0.002589572878]
lambdaZ_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0007562280009, 0.0007864757714]
gHGGeff_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9461855201, 1.044282314]
deltagHcc_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.05957493539, 0.05442233642]
deltagHbb_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.02784894072, 0.02323514342]
deltagHtata_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.03288893241, 0.02773545366]
deltagHmumu_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.3915096804, 0.3664417963]
GammaH_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9520818981, 1.038358508]
deltagZeeL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001989590165, 0.0003949666048]
deltagZeeR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0002521572466, 0.0004879509787]
deltaUWeve_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005682504979, 0.000808508861]
deltagZmumuL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001561880074, 0.0004472236941]
deltagZmumuR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0002071300443, 0.0005763878123]
deltaUWmuvmu_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0006503205399, 0.0008885038805]
deltagZtataL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0003512802065, 0.0006672458535]
deltagZtataR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0006382437882, 0.000857201801]
deltaUWtavta_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0007331244301, 0.0008531114582]
deltaguL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.00323249361, 0.003501929844]
deltaguR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.003608949974, 0.004159589885]
deltagdL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002836437462, 0.002876138331]
deltagdR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.05846808793, 0.07888984652]
deltagbL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005122077397, 0.0008888899086]
deltagbR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.00697658625, 0.007833540643]
delgZeeL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001136920863, 5.727066998e-05]
delgZeeR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-5.349456206e-05, 0.0001035171135]
delUWeve_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005682504979, 0.000808508861]
delgZmumuL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001287341784, 4.495919499e-05]
delgZmumuR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-4.394221327e-05, 0.0001222788822]
delUWmuvmu_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0006503205399, 0.0008885038805]
delgZtataL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.000192067868, 0.0001011166652]
delgZtataR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001354024162, 0.0001818523463]
delUWtavta_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0007331244301, 0.0008531114582]
delguL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001159068564, 0.00125568203]
delguR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005882967761, 0.0005104194511]
delgdL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001234680277, 0.001217638222]
delgdR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.004134609637, 0.005578769802]
delgbL_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0003815862895, 0.0002198825094]
delgbR_nocorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0004933536677, 0.0005539550321]
eHWWpar: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001414032016, 0.001249078066]
eHZZpar: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001260447703, 0.001336649745]
eHZgapar: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001300978514, 0.001439515809]
Mz_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18778271, 91.18861944]
GammaZ_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495157496, 2.49539404]
sigmaHadron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47486063, 41.50722399]
Relectron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71014794, 20.7579181]
Rmuon_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.7287992, 20.73763232]
Rtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77106055, 20.78950434]
AFBelectron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.01626018062, 0.01629885666]
AFBmuon_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.01625965508, 0.01629684834]
AFBtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.01619072174, 0.01637653544]
Aelectron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472421144, 0.1474171741]
Amuon_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471904973, 0.1474624289]
Atau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1465402246, 0.1482438372]
AelectronPtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472421144, 0.1474171741]
AtauPtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1465402246, 0.1482438372]
Rbottom_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2155897315, 0.2161167108]
Rcharm_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1709937572, 0.1733394707]
AFBbottom_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1031645562, 0.1034001186]
AFBcharm_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.07368502056, 0.07391955183]
Abottom_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9338311208, 0.935601396]
Acharm_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6668739429, 0.668977011]
BrWelectron_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.10826009, 0.10850971]
BrWmuon_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082515889, 0.1085094507]
BrWtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082528618, 0.1085260891]
deltag1Z_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001688202285, 0.002057661527]
deltaKgamma_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001797302881, 0.002589572878]
lambdaZ_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0007562280009, 0.0007864757714]
deltaguL_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001159068564, 0.00125568203]
deltaguR_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005882967761, 0.0005104194511]
deltagdL_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001234680277, 0.001217638222]
deltagdR_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.004134609637, 0.005578769802]
deltag1Z_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001688202285, 0.002057661527]
deltaKgamma_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001797302881, 0.002589572878]
lambdaZ_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0007562280009, 0.0007864757714]
deltag1Z_OO_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001688202285, 0.002057661527]
deltaKgamma_OO_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001797302881, 0.002589572878]
lambdaZ_OO_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0007562280009, 0.0007864757714]
deltageL_OO_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001136920863, 5.727066998e-05]
deltageR_OO_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-5.349456206e-05, 0.0001035171135]
deltaUev_OO_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005682504979, 0.000808508861]
BrWelectron_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.10826009, 0.10850971]
BrWmuon_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082515889, 0.1085094507]
BrWtau_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082528618, 0.1085260891]
deltag1Z_OO_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001688202285, 0.002057661527]
deltaKgamma_OO_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001797302881, 0.002589572878]
lambdaZ_OO_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0007562280009, 0.0007864757714]
deltageL_OO_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001136920863, 5.727066998e-05]
deltageR_OO_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-5.349456206e-05, 0.0001035171135]
deltaUev_OO_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005682504979, 0.000808508861]
BrWelectron_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.10826009, 0.10850971]
BrWmuon_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082515889, 0.1085094507]
BrWtau_FCCee240: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082528618, 0.1085260891]
deltag1Z_OO_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001688202285, 0.002057661527]
deltaKgamma_OO_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001797302881, 0.002589572878]
lambdaZ_OO_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0007562280009, 0.0007864757714]
deltageL_OO_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001136920863, 5.727066998e-05]
deltageR_OO_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-5.349456206e-05, 0.0001035171135]
deltaUev_OO_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005682504979, 0.000808508861]
BrWelectron_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.10826009, 0.10850971]
BrWmuon_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082515889, 0.1085094507]
BrWtau_FCCee365: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082528618, 0.1085260891]
gHZZeff_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9799704295, 1.015618674]
gHWWeff_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9779482576, 1.015211273]
gHAAeff_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8328220375, 1.137248602]
deltagHZA_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.3160106301, 0.3023390461]
deltag1Z_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001688202285, 0.002057661527]
deltaKgamma_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001797302881, 0.002589572878]
lambdaZ_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0007562280009, 0.0007864757714]
gHGGeff_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9461855201, 1.044282314]
deltagHtt_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-3.055805408, 3.052872983]
deltagHcc_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.05957493539, 0.05442233642]
deltagHbb_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.02784894072, 0.02323514342]
deltagHtata_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.03288893241, 0.02773545366]
deltagHmumu_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.3915096804, 0.3664417963]
deltagZeeL_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001989590165, 0.0003949666048]
deltagZeeR_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0002521572466, 0.0004879509787]
deltaUWeve_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005682504979, 0.000808508861]
deltagZmumuL_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0001561880074, 0.0004472236941]
deltagZmumuR_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0002071300443, 0.0005763878123]
deltaUWmuvmu_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0006503205399, 0.0008885038805]
deltagZtataL_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0003512802065, 0.0006672458535]
deltagZtataR_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0006382437882, 0.000857201801]
deltaUWtavta_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0007331244301, 0.0008531114582]
deltaguL_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.00323249361, 0.003501929844]
deltaguR_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.003608949974, 0.004159589885]
deltagdL_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.002836437462, 0.002876138331]
deltagdR_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.05846808793, 0.07888984652]
deltagbL_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.0005122077397, 0.0008888899086]
deltagbR_gicorr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.00697658625, 0.007833540643]
CW_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.013314814, 0.0128026373]
CHG_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.1732368566, 0.1728146816]
CHW_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.05958733113, 0.06015821847]
CHB_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.03019831337, 0.03079558743]
CHWB_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.01624720912, 0.02340914908]
CHD_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.04970493914, 0.02345632235]
CHbox_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.3028456782, 0.2548361987]
CHL1_11_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.008631629572, 0.01164558768]
CHL1_22_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.01377814608, 0.0157131123]
CHL1_33_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.01581091465, 0.01702060426]
CHL3_11_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.01438659208, 0.0135686931]
CHL3_22_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.02334785341, 0.024408343]
CHL3_33_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.02352696353, 0.02276582259]
CHe_11_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.01750929503, 0.01778001004]
CHe_22_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.01935354381, 0.01939372901]
CHe_33_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.02075759177, 0.01965535045]
CHQ1_11_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.04026805885, 0.03640139881]
CHQ1_33_corr: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.02742780356, 0.02893594364]
CHQ3_11_corr: 100% within the range, 0% underflow, 0% overflow
