mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1890706, 173.20851]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0981543, 125.1011496]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1178927362, 0.1181608051]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02755876921, 0.027598378]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754766897, 0.007755093429]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37224151, 80.3757925]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.08765319, 2.090325341]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9306603871, 0.9387347084]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1711904581, 0.1731256911]
RWc_C: 99.9939% within the range, 0% underflow, 0.006125% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18774535, 91.18868366]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.495146255, 2.495391458]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472344949, 0.1474174263]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471820176, 0.1474667827]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1465090244, 0.1481910975]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9339649588, 0.9356352758]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.666938177, 0.6689630248]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47590471, 41.5075285]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71809097, 20.75179491]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72859191, 20.73792333]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77158129, 20.78924284]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2156148749, 0.2161097542]
Rcharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1711685389, 0.1731037721]
Mw_FCCee: 100% within the range, 0% underflow, 0% overflow
