mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1033138, 173.2749091]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0882481, 125.1144814]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1171336246, 0.1188340712]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.0274730579, 0.02770542974]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754060487, 0.007755975568]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37238198, 80.3756224]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.086949591, 2.091150461]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9278964269, 0.9425436125]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1710529541, 0.173356668]
RWc_C: 99.994% within the range, 0% underflow, 0.006% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18778061, 91.18863334]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.49518021, 2.49539074]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472300058, 0.1474185738]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.147178637, 0.1474544281]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1465279132, 0.1481821537]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9339154427, 0.9356893348]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6668910702, 0.6689265492]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.4738591, 41.50629185]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71241223, 20.7555793]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72826685, 20.73773976]
