mtop: 99.9991% within the range, 0% underflow, 0.0009375% overflow
  [min, max]=[173.1238388, 173.2850653]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0871142, 125.1119287]
AlsMz: 99.9685% within the range, 0.0315125% underflow, 0% overflow
  [min, max]=[0.1170803375, 0.1187583679]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02745919745, 0.02769600557]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007753946754, 0.007755898134]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.36267406, 80.36597223]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.085973898, 2.090871209]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9273164474, 0.9438200104]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.171080607, 0.1733007211]
RWc_C: 99.9959% within the range, 0% underflow, 0.00405% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18775294, 91.18862932]
GammaZ_FCCee: 99.9954% within the range, 0% underflow, 0.0046375% overflow
  [min, max]=[2.49451174, 2.494747704]
Aelectron_FCCee: 99.9994% within the range, 0% underflow, 0.0006% overflow
  [min, max]=[0.1472356288, 0.1474158845]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471937077, 0.1474701398]
Atau_FCCee: 99.9999% within the range, 0.0001% underflow, 0% overflow
  [min, max]=[0.1464463699, 0.1482509657]
Abottom_FCCee: 99.9999% within the range, 0% underflow, 0.0001375% overflow
  [min, max]=[0.9338882243, 0.9356943825]
Acharm_FCCee: 99.9994% within the range, 0.0004375% underflow, 0.0001875% overflow
  [min, max]=[0.6665992918, 0.6690952902]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47435862, 41.5093371]
