mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[171.8155053, 174.8526544]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0372001, 125.1607497]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1172022539, 0.1187954045]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.0270401309, 0.0280971394]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007750494876, 0.007759208553]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37228077, 80.39170708]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.083819973, 2.094475656]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9154556635, 0.9540055547]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1680924553, 0.1756287187]
RWc_C: 99.99% within the range, 0% underflow, 0.01% overflow
  [min, max]=[0.5, 0.5]
Mw_ILC250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37228077, 80.39170708]
GammaW_ILC250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.083819973, 2.094475656]
Mz_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18558151, 91.19090558]
GammaZ_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.490622699, 2.500448738]
Aelectron_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1466723977, 0.1479355192]
Amuon_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1434944538, 0.1505922019]
Atau_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1436756081, 0.1508520474]
Abottom_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9317745098, 0.9374785449]
Acharm_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6618824982, 0.6756474367]
Relectron_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.67172394, 20.81065493]
Rmuon_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.64668082, 20.82140828]
Rtau_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.69246154, 20.87249183]
Rbottom_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2149830185, 0.2167888476]
Rcharm_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1680705511, 0.1756068431]
Mw_HLLHC: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.37228077, 80.39170708]
eeZH_ILC250_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9811257583, 1.031405751]
eeZHbb_ILC250_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9773812787, 1.029521921]
eeHvvbb_ILC250_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9236875037, 1.067529212]
eeZHcc_ILC250_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8780800074, 1.138101622]
eeZHgg_ILC250_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9224466461, 1.08437823]
eeZHWW_ILC250_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9691842512, 1.078234592]
eeZHtautau_ILC250_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9423661486, 1.052379359]
eeZHZZ_ILC250_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9630683399, 1.083647272]
eeZHgaga_ILC250_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.8552099485, 1.093145066]
eeZHmumu_ILC250_m80_p30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.5735119924, 1.462821236]
eeZH_ILC250_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9834598163, 1.035640762]
eeZHbb_ILC250_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9777230837, 1.028142179]
eeHvvbb_ILC250_p80_m30: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9254282221, 1.069086498]
