mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1206755, 173.2859869]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0544768, 125.153229]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1172995357, 0.1187002574]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02713164776, 0.02803103532]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.00775124894, 0.007758661699]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.36989909, 80.39036101]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.0843761, 2.094201282]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9206797195, 0.950615265]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1689091934, 0.1755445308]
RWc_C: 99.9949% within the range, 0% underflow, 0.005125% overflow
  [min, max]=[0.5, 0.5]
Mw_ILC250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.36989909, 80.39036101]
GammaW_ILC250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.0843761, 2.094201282]
Mz_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.1852783, 91.19199999]
GammaZ_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.490807235, 2.499976961]
Aelectron_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1467004698, 0.1479552341]
Amuon_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1438397021, 0.1510075288]
Atau_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1440937009, 0.1511911475]
Abottom_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9318975127, 0.9372938994]
Acharm_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6617231926, 0.6741539426]
Relectron_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.6741091, 20.79866665]
Rmuon_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.64394994, 20.80730195]
Rtau_ILCRR250: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.68429472, 20.87232617]
Rbottom_ILCRR250: 100% within the range, 0% underflow, 0% overflow
