mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1789825, 173.2232273]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0979042, 125.1043769]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.117775034, 0.1182077406]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02754990294, 0.02764634374]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754693987, 0.00775548891]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.35879164, 80.36206667]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.086514573, 2.090644025]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9296323948, 0.9426391122]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1711509698, 0.1732407536]
RWc_C: 99.9977% within the range, 0% underflow, 0.00225% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18774511, 91.1886304]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.494470107, 2.494708536]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472355498, 0.1474136755]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471757666, 0.1474771091]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1463496298, 0.148148259]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9338573752, 0.9357262054]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6669708902, 0.6689394078]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47528652, 41.50753516]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71442437, 20.75517677]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
