mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1081371, 173.2712295]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0876666, 125.1116154]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1172086955, 0.1187797851]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.0274743672, 0.02768742497]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754071396, 0.007755827451]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.35880854, 80.36229131]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.08617826, 2.090287106]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9285674518, 0.9420312168]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.17126184, 0.1732816452]
RWc_C: 99.9973% within the range, 0% underflow, 0.00275% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18782442, 91.1886088]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.494486889, 2.494693266]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472371108, 0.1474156971]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471904158, 0.1474410741]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1464943203, 0.1480918829]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9339846659, 0.9355306358]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6669266757, 0.6690798663]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47550973, 41.50759183]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.71282239, 20.75223831]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72886151, 20.73702243]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77201513, 20.78869047]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
