mtop: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[173.1273801, 173.2762245]
mHl: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[125.0868867, 125.1137566]
AlsMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1173486012, 0.1187591809]
dAle5Mz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.02748281944, 0.0276880598]
AlemMz: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.007754141266, 0.007755832279]
Mw_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[80.35868565, 80.36196661]
GammaW_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.086203279, 2.090647598]
As_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.9284227609, 0.9425343956]
Ruc_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1712370491, 0.1732165194]
RWc_C: 99.9985% within the range, 0% underflow, 0.0015% overflow
  [min, max]=[0.5, 0.5]
Mz_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[91.18775906, 91.18859886]
GammaZ_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[2.494488159, 2.494695766]
Aelectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1472447768, 0.1474058282]
Amuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1471948576, 0.1474415912]
Atau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1465338519, 0.1481213711]
Abottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.933884796, 0.935559077]
Acharm_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.6669424685, 0.6690624742]
sigmaHadron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[41.47643484, 41.50824207]
Relectron_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.7079208, 20.75289231]
Rmuon_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.72914581, 20.73716056]
Rtau_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[20.77169082, 20.78815115]
Rbottom_FCCee: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.2155933272, 0.2161252202]
